id,Source,Target,Date
2695,James Lovell,Samuel Adams,1779-07-10
2696,James Searle,Richard Henry Lee,1779-07-10
2697,William Whipple,Josiah Bartlett,1779-07-12
2698,John Armstrong,Horatio Gates,1779-07-12
2699,John Fell,Diary,1779-07-13
2700,James Lovell,James Warren,1779-07-13
2701,James Lovell,Samuel Adams,1779-07-13
2702,Samuel Holten,Jeremiah Powell,1779-07-13
2703,Nathaniel Peabody,Josiah Bartlett,1779-07-13
2704, Rhode Island Delegates,William Greene,1779-07-13
2705,William Fleming,Thomas Jefferson,1779-07-13
2706,Henry Laurens,Horatio Gates,1779-07-14
2707,John Fell,Diary,1779-07-15
2708, North Carolina Delegates,Richard Caswell,1779-07-15
2709,James Lovell,Samuel Adams,1779-07-16
2710,Henry Laurens,John Houstoun,1779-07-16
2711,Samuel Holten,unknown,1779-07-17
2712,John Fell,Diary,1779-07-17
2713,Henry Laurens,Benjamin Lincoln,1779-07-17
2714,James Lovell,Richard Henry Lee,1779-07-17
2715,James Lovell,Arthur Lee,1779-07-17
2716, Committee of Foreign Affairs,Ralph Izard,1779-07-17
2717, Committee of Foreign Affairs, Navy Board of Eastern Department,1779-07-17
2718,Henry Laurens,John Laurens,1779-07-17
2719,Henry Laurens,Proposed Resolves,1779-07-19
2720, 03ine Committee,Benjamin Franklin,1779-07-19
2721, Commercial Committee,Oliver Pollock,1779-07-19
2722,William Whipple,Ebenezer Thompson,1779-07-19
2723,John Fell,Diary,1779-07-20
2724,Nathaniel Peabody,Meshech Weare,1779-07-20
2725,Nathaniel Peabody,Josiah Bartlett,1779-07-20
2726,James Lovell,Samuel Adams,1779-07-20
2727,James Duane,Mrs. Duane,1779-07-21
2728,Samuel Holten,Diary,1779-07-21
2729,John Fell,Diary,1779-07-22
2730,Gouverneur Morris,Robert R. Livingston,1779-07-22
2731,Samuel Huntington,Jeremiah Wadsworth,1779-07-22
2732,John Dickinson,Propositions for Treaty of Peace,1779-07-22
2733,John Dickinson,Draft of Instructions,1779-07-22
2734,John Dickinson,Thomas Rodney,1779-07-22
2735,John Fell,Diary,1779-07-24
2736,William Whipple,John Langdon,1779-07-26
2737,John Fell,Diary,1779-07-27
2738,William Whipple,Josiah Bartlett,1779-07-27
2739,John Fell,Diary,1779-07-29
2740,Henry Laurens,Alexander Hamilton,1779-07-29
2741,Meriwer Smith,Thomas Jefferson,1779-07-30
2742,Henry Laurens,Notes,1779-07-30
2743,John Fell,Diary,1779-07-31
2744,James Lovell,Richard Henry Lee,1779-07-31
2745,John Fell,Diary,1779-08-03
2746,Nathaniel Peabody,Josiah Bartlett,1779-08-03
2747,William Whipple,Josiah Bartlett,1779-08-03
2748,Samuel Holten,Diary,1779-08-05
2749,John Fell,Diary,1779-08-05
2750,John Jay,George W^ashington,1779-08-06
2751,James Lovell,Benjamin Franklin,1779-08-06
2752,James Lovell,Arthur Lee,1779-08-06
2753,John Fell,Diary,1779-08-07
2754,James Lovell,Horatio Gates,1779-08-09
2755,John Fell,Diary,1779-08-09
2756, Rhode Island Delegates,William Greene,1779-08-10
2757,Henry Laurens,Richard Henry Lee,1779-08-10
2758,Nathaniel Peabody,Meshech Weare,1779-08-10
2759,William Whipple,Josiah Bartlett,1779-08-10
2760,William Fleming,Thomas Jefferson,1779-08-10
2761,Francis Lewis,Stephen Sayre,1779-08-10
2762,John Fell,Diary,1779-08-12
2763,John Jay,Benjamin Lincoln,1779-08-12
2764,James Lovell,Samuel Adams,1779-08-12
2765,James Lovell,James Warren,1779-08-13
2766,A Committee of Congress,Benjamin Lincoln,1779-08-13
2767,John Fell,Diary,1779-08-14
2768,Thomas Burke, North Carolina Assembly,1779-08-15
2769,John Armstrong,Horatio Gates,1779-08-16
2770, Committee of Conference,Report,1779-08-16
2771,John Fell,Diary,1779-08-17
2772,James Lovell,Richard Henry Lee,1779-08-17
2773,James Lovell,Samuel Adams,1779-08-17
2774,Nathaniel Peabody,Josiah Bartlett,1779-08-17
2775,Francis Lewis,George Clinton,1779-08-18
2776,Samuel Huntington,Jeremiah Wadsworth,1779-08-18
2777,Samuel Holten,Diary,1779-08-19
2778,John Jay,George Washington,1779-08-20
2779,A Committee of Congress,Nathanael Greene,1779-08-20
2780, 03ine Committee,Joseph Reed,1779-08-20
2781,John Jay,Joseph Reed,1779-08-22
2782,William Whipple,Richard Henry Lee,1779-08-23
2783,William Whipple,Josiah Bartlett,1779-08-24
2784,Gouverneur Alorris,Robert R. Livingston,1779-08-24
2785,Henry 03chant,Horatio Gates,1779-08-24
2786,Elbridge Gerry,John Adams,1779-08-24
2787,Samuel Holten,Jeremiah Powell,1779-08-24
2788,Nathaniel Peabody,Meshech Weare,1779-08-24
2789,John Jay,George Clinton,1779-08-27
2790,James Lovell,Richard Henry Lee,1779-08-28
2791,Samuel Holten,Diary,1779-08-29
2792,John Fell,Diary,1779-08-31
2793,John Jay,William Glascock,1779-08-31
2794,Cornelius Harnett,Richard Caswell,1779-08-31
2795,Henry Laurens,Richard Henry Lee,1779-08-31
2796,James Lovell,Richard Henry Lee,1779-08-31
2797,Nathaniel Peabody,Josiah Bartlett,1779-08-31
2798,Henry Laurens,Statement,1779-09-01
2799,John Fell,Diary,1779-09-01
2800,John Jay,George Qinton,1779-09-02
2801,A Committee of Congress,George Washington,1779-09-03
2802,John Fell,Diary,1779-09-04
2803,Samuel Holten,Diary,1779-09-04
2804,Charles Thomson,Statement,1779-09-06
2805,John Fell,Diary,1779-09-07
2806,Oliver Ellsworth,Communication to Public,1779-09-07
2807,Nathaniel Peabody,Josiah Bartlett,1779-09-07
2808,John Fell,Diary,1779-09-09
2809,Samuel Huntington,Jonathan Trumbull,1779-09-09
2810,Jesse Root,Jeremiah Wadsworth,1779-09-09
2811,William Churchill Houston,Proposed Report,1779-09-09
2812,Henry Laurens,Proposed Report,1779-09-09
2813,Samuel Holten,Diary,1779-09-10
2814,John Fell,Diary,1779-09-11
2815,Henry Laurens,Notes for Re03ks,1779-09-13
2816,John Fell,Diary,1779-09-14
2817,John Jay, Several States,1779-09-14
2818,Cornelius Harnett,Richard Caswell,1779-09-14
2819,James Lovell,John Adams,1779-09-14
2820,Nathaniel Peabody,Meshech Weare,1779-09-14
2821,John Fell,Diary,1779-09-15
2822,Henry 03chant,Horatio Gates,1779-09-16
2823,James Lovell,Horatio Gates,1779-09-16
2824,James Lovell,Benjamin Franklin,1779-09-16
2825,Samuel Holten,Diary,1779-09-17
2826,John Jay,George Clinton,1779-09-17
2827,James Lovell,Arthur Lee,1779-09-17
2828,William Whipple,Richard Henry Lee,1779-09-18
2829,James Lovell,Arthur Lee,1779-09-21
2830,James Lovell,Samuel Adams,1779-09-21
2831,Nathaniel Peabody,Josiah Bartlett,1779-09-21
2832,James Forbes,Thomas Sim Lee,1779-09-21
2833,Henry Laurens,John Laurens,1779-09-21
2834,John Maws,Thomas Bee,1779-09-21
2835,Samuel Holten,Diary,1779-09-23
2836,James Lovell,Arthur Lee,1779-09-22
2837,Henry Laurens,Notes,1779-09-24
2838,John Jay,Meshech Weare,1779-09-25
2839,John Jay,George Clinton,1779-09-25
2840, Connecticut Delegates,Jonathan Trumbull,1779-09-25
2841,Henry Laurens,Notes of Proceedings,1779-09-27
2842,John Fell,Diary,1779-09-26
2843,John Jay, Several States,1779-09-26
2844,Henry Laurens,Jonathan Trumbull,1779-09-26
2845, Maryland Delegates,Thomas Johnsonjr.,1779-09-26
2846,Henry Laurens,John Laurens,1779-09-27
2847,James Lovell,Richard Henry Lee,1779-09-27
2848,James Lovell,John Adams,1779-09-27
2849,Henry 03chant,Horatio Gates,1779-09-27
2850,John Fell,Diary,1779-09-28
2851,James Lovell,John Adams,1779-09-28
2852,John Dickinson,Caesar Rodney,1779-09-28
2853,Henry Laurens,Richard Henry Lee,1779-09-28
2854,Henry Laurens,William Whipple,1779-09-28
2855,Samuel Holten,Jeremiah Powell,1779-09-28
2856,Elbridge Gerry,John Adams,1779-09-29
2857,James Lovell,Samuel Adams,1779-09-29
2858,James Lovell,Arthur Lee,1779-09-29
2859,John Jay,George Clinton,1779-09-29
2860,John Jay,Robert R. Livingston,1779-09-29
2861,John Jay,Gouverneur Morris,1779-09-29
2862,Nathaniel Peabody,Josiah Bartlett,1779-09-29
2863,John Fell,Diary,1779-09-30
2864,James Lovell,Horatio Gates,1779-09-30
2865,Cyrus Griffin,Benjamin Franklin,1779-09-30
2866,James Alercer,Benjamin Harrison,1779-10-01
2867,James Lovell,John Adams,1779-10-01
2868,John Fell,Diary,1779-10-02
2869,Henry Laurens,John Laurens,1779-10-02
2870,Henry Lijurens,John Adams,1779-10-04
2871, Maryland Delegates,Thomas Johnson jr.,1779-10-04
2872,John Fell,Diary,1779-10-05
2873,Edmund Randolph,Benjamin Harrison,1779-10-05
2874,Henry Laurens,Samuel Adams,1779-10-05
2875,William Churchill Houston,William Livingston,1779-10-05
2876,James Lovell,William Whipple,1779-10-05
2877,Nathaniel Peabody,Josiah Bartlett,1779-10-05
2878,A Committee of Congress,Jeremiah Wadsworth,1779-10-06
2879,Jesse Root,Jeremiah Wadsworth,1779-10-06
2880,Samuel Holten,Diary,1779-10-06
2881,John Fell,Diary,1779-10-07
2882,Gouverneur Morris,George Clinton,1779-10-07
2883,John Fell,Diary,1779-10-09
2884,Cornelius Harnett,Thomas Burke,1779-10-09
2885,Henry Laurens,Benjamin Lincoln,1779-10-09
2886,A Committee of Congress,Thomas Johnson jr.,1779-10-09
2887,John Fell,Diary,1779-10-12
2888,Richard Henry Lee,Arthur Lee,1779-10-12
2889, Virginia Delegates,Benjamin Harrison,1779-10-12
2890,Henry Laurens,Richard Henry Lee,1779-10-12
2891,Henry 03chant,William Greene,1779-10-12
2892,Elbridge Gerry,John Adams,1779-10-12
2893,Woodbury Langdon,Meshech Weare,1779-10-12
2894,James Lovell,Richard Henry Lee,1779-10-13
2895,John Fell,Diary,1779-10-14
2896,James Lovell,Arthur Lee,1779-10-14
2897,James Lovell,Arthur Lee,1779-10-14
2898,Samuel Holten,Jeremiah Powrell,1779-10-15
2899,John Armstrong,George Washington,1779-10-15
2900,John Fell,Diary,1779-10-16
2901,Nathaniel Peabody,Josiah Bartlett,1779-10-18
2902, Committee of Foreign Affairs,William Carmichael,1779-10-18
2903,John Fell,Diary,1779-10-19
2904,Henry Laurens,Jonathan Trumbull,1779-10-19
2905,Woodbury Langdon,Meshech Weare,1779-10-19
2906,John Fell,Diary,1779-10-21
2907,Samuel Holten,Diary,1779-10-21
2908,Gouverneur Morris,George Washington,1779-10-21
2909,John Fell,Diary,1779-10-24
2910,Samuel Holten,Diary,1779-10-24
2911,Daniel of St. Thomas Jenifer,Thomas Johnson jr.,1779-10-25
2912,John Fell,Diary,1779-10-26
2913,James Lovell,Richard Henry Lee,1779-10-26
2914,Nathaniel Peabody,Meshech Weare,1779-10-26
2915,Henry 03chant,William Greene,1779-10-26
2916,John Fell,Diary,1779-10-28
2917,John Fell,Diary,1779-10-30
2918,John Armstrong,William Irvine,1779-10-30
2919,Thomas Burke, North Carolina Assembly,1779-10-31
2920,Thomas Burke,Arthur Middleton,1779-11-01
2921,Jesse Root,Oliver Ellsworth,1779-11-01
2922,John Fell,Diary,1779-11-02
2923,Cornelius Harnett,Richard Caswell,1779-11-02
2924, Virginia Delegates,Benjamin Harrison,1779-11-02
2925,Samuel Holten,Diary,1779-11-03
2926,John Fell,Diary,1779-11-04
2927, North Carolina Delegates,Richard Caswell,1779-11-04
2928,Nathaniel Peabody,Josiah Bartlett,1779-11-05
2929,John Fell,Diary,1779-11-06
2930,Thomas McKean,John Adams,1779-11-08
2931,William Sharpe,Richard Caswell,1779-11-08
2932,John Fell,Diary,1779-11-08
2933,Samuel Huntington,Thomas Jefferson,1779-11-09
2934,Cyrus Griffin,Benjamin Harrison,1779-11-09
2935,John Fell,Diary,1779-11-10
2936,Samuel Holten,Diary,1779-11-11
2937,Samuel Holten,Jeremiah Powell,1779-11-11
2938,William Sharpe,Richard Caswell,1779-11-12
2939,Jesse Root,Jonathan Trumbull jr.,1779-11-12
2940,William Churchill Houston,William Livingston,1779-11-12
2941,John Fell,Diary,1779-11-13 
2942,Thomas McKean,William 08ustus Atlee,1779-11-13
2943,Henry 03chant,William Greene,1779-11-14
2944,John Fell,Diary,1779-11-16 
2945,Nathaniel Scudder,Richard Henry Lee,1779-11-16
2946,Henry 03chant,William Greene,1779-11-16
2947, Massachusetts Delegates,Jeremiah Powell,1779-11-16
2948,Nathaniel Peabody,Meshech Weare,1779-11-16
2949,John Fell,Diary,1779-11-18 
2950,Philip Schuyler,George Washington,1779-11-18
2951, Massachusetts Delegates,John Hancock,1779-11-19
2952, Massachusetts Delegates,John Adams,
2953,John Fell,Diary,1779-11-20 
2954,Charles Thomson, Several States,1779-11-20
2955, New Jersey Delegates,William Livingston,1779-11-22
2956,John Fell,Diary,1779-11-23 
2957,Cyrus Griffin,Benjamin Harrison,1779-11-23
2958,James Forbes,unknown,1779-11-23
2959,John Fell,Diary,1779-11-25 
2960,Jesse Root,Jeremiah Wadsworth,1779-11-26
2961,Samuel Huntington,Oliver Wolcott,1779-11-26
2962,John Fell,Diary,1779-11-27
2963,Samuel Huntington,Thomas Waring,1779-11-27
2964,Philip Schuyler,George Clinton,1779-11-29
2965,John Fell,Diary,1779-11-30 
2966, Rhode Island Delegates,William Greene,1779-11-30
2967,Robert R. Livingston,George Clinton,1779-11-30
2968,Nathaniel Peabody,Josiah Bartlett,1779-11-30
2969,Samuel Holten,Diary,1779-12-03
2970,William Sharpe,Richard Caswell,1779-12-05
2971,Nathaniel Scudder,Nathaniel Peabody,1779-12-08
2972,Samuel Huntington,William Shippen jr.,1779-12-08
2973,Samuel Holten,Diary,1779-12-11 
2974,Samuel Huntington,William Livingston,1779-12-11
2975,Samuel Holten,Diary,1779-12-14 
2976,Samuel Huntington,William Livingston,1779-12-14
2977,William Ellery,William Greene,1779-12-14
2978,Samuel Huntington,Thomas Johnsonjr.,1779-12-15
2979,John Armstrong,James Searle,1779-12-15
2980,James Lovell,Henry Laurens,1779-12-15
2981,James Lovell,Henry Laurens,1779-12-17
2982,Nathaniel Peabody,Henry Laurens,1779-12-17
2983,Samuel Huntington,Benjamin Lincoln,1779-12-18
2984,James Lovell,Richard Henry Lee,1779-12-18
2985,Roger Sherman,Jonathan Trumbull,1779-12-20
2986,Robert R. Livingston,Philip Schuyler,1779-12-20
2987,William Floyd,George Clinton,1779-12-21
2988,Samuel Huntington,Caesar Rodney,1779-12-21
2989,William Ellery,William Greene,1779-12-21
2990,Woodbury Langdon,Nathaniel Peabody,1779-12-21
2991,James Lovell,Samuel Adams,1779-12-21
2992,Thomas Burke,Joseph Reed,1779-12-22
2993,Allen Jones,Richard Caswell,1779-12-22
2994,Samuel Holten,Diary,1779-12-24 
2995,Nathaniel Peabody,Josiah Bartlett,1779-12-24
2996,Roger Sherman,Jonathan Trumbull,1779-12-28
2997,Samuel Huntington,Nathanael Greene,1779-12-29
2998,Samuel Huntington,Richard Caswell,1779-12-30
2999,Cyrus Griffin,Ephraim Blaine,1779-12-31
3000,Samuel Huntington,Jonathan Trumbull jr.,1780-01-03
3001, Board of War,George Washington,1780-01-03
3002,John Maws,Thomas Bee,1780-01-05
3003,Samuel Huntington,Jonathan Trumbull,1780-01-06
3004,Elbridge Gerry,William Hunt,1780-01-06
3005,Roger Sherman,Andrew Adams,1780-01-07
3006,Samuel Huntington,Jonathan Trumbull,1780-01-08
3007,A Committee of Congress,George Washington,1780-01-11
3008,Roger Sherman,Jonathan Trumbull,1780-01-11
3009,Samuel Huntington,Jonathan Trumbull,1780-01-12
3010,Elbridge Gerry,George Washington,1780-01-12
3011,John Armstrong,George Washington,1780-01-12
3012,Oliver Ellsworth,Jonathan Trumbull,1780-01-14
3013,Samuel Holten,Diary,1780-01-15
3014,Samuel Huntington, Several States,1780-01-18
3015,Samuel Huntington,John Lawrence,1780-01-18
3016, North Carolina Delegates,Richard Caswell,1780-01-21
3017,James Lovell,Samuel Adams,1780-01-21
3018,James Lovell,Samuel Adams,1780-01-21
3019,James Lovell,Horatio Gates,1780-01-22
3020,John Armstrong,Joseph Reed,1780-01-24
3021,Elbridge Gerry,James Warren,1780-01-25
3022,Oliver Ellsworth,Samuel Lyman,1780-01-25
3023, Connecticut Delegates,Jonathan Trumbull,1780-01-26
3024,Samuel Huntington,George Washington,1780-01-27
3025,Robert R. Livingston,Philip Schuyler,1780-01-27
3026,William Floyd,George Qinton,1780-01-28
3027,James Lovell,Samuel Adams,1780-01-28
3028,Philip Schuyler,Pierre Van Cortlandt,1780-01-29
3029,Philip Schuyler,Evert Bancker,1780-01-29
3030,Oliver Ellsworth,Jonathan Trumbull,1780-01-30
3031,Charles Thomson, Several States,1780-02-01
3032,James Lovell,Samuel Adams,1780-02-01
3033,Samuel Huntington,George Wy,1780-02-02
3034,Samuel Holten,Diary,1780-02-04 
3035,James Lovell,Horatio Gates,1780-02-04
3036,Samuel Huntington,George Washington,1780-02-07
3037,Samuel Huntington,Jonathan Trumbull,1780-02-07
3038,Nathaniel Peabody,Woodbury Langdon,1780-02-07
3039,Oliver Ellsworth,Jonathan Trumbull,1780-02-08
3040,Nathaniel Peabody,Josiah Bartlett,1780-02-08
3041,James Lovell,Samuel Adams,1780-02-08
3042, North Carolina Delegates,Richard Caswell,1780-02-09
3043, New York Delegates,George Qinton,1780-02-09
3044,Samuel Huntington,George Washington,1780-02-10
3045,Samuel Huntington, Several States,1780-02-10
3046,James Lovell,Henry Laurens,1780-02-12
3047,Samuel Huntington,George Walton,1780-02-14
3048,Samuel Huntington,Qement Nash,1780-02-14
3049, Rhode Island Delegates,William Greene,1780-02-15
3050, Connecticut Delegates,Jonathan Trumbull,1780-02-15
3051,Elbridge Gerry,Samuel Adams,1780-02-15
3052,John Armstrong,Horatio Gates,1780-02-16
3053,James Lovell,Samuel Adams,1780-02-16
3054,Abraham Qark,Caleb Camp,1780-02-17
3055,Elbridge Gerry,Samuel Huntington,1780-02-19
3056,Samuel Huntington,George Washington,1780-02-22
3057, Board of War,George Washington,1780-02-22
3058,Ezra L'Hommedieu,George Clinton,1780-02-22
3059,Elbridge Gerry,Samuel Huntington,1780-02-22
3060,Nathaniel Peabody,Meshech Weare,1780-02-22
3061,John Collins,Nathanael Greene,1780-02-22
3062,James Lovell,George Washington,1780-02-23
3063, Maryland Delegates,Thomas Sim Lee,1780-02-23
3064,Samuel Holten,Diary,1780-02-24 
3065,James Lovell,Benjamin Franklin,1780-02-24
3066,James Lovell,Samuel Adams,1780-02-24
3067,Samuel Huntington, Several States,1780-02-26
3068,John Collins,Nathanael Greene,1780-02-26
3069,James Lovell,Samuel Adams,1780-02-28
3070,Samuel Huntington,Richard Howly,1780-02-29
3071, North Carolina Delegates,Richard Caswell,1780-02-29
3072, Massachusetts Delegates,Jeremiah Powell,1780-03-01
3073, New Hampshire Delegates,Meshech Weare,1780-03-04
3074,Samuel Huntington,Thomas Jefferson,1780-03-06
3075,Samuel Holten,Jeremiah Powell,1780-03-06
3076,Philip Schuyler,Samuel Huntington,1780-03-06
3077,Philip Schujder,George Washington,1780-03-07
3078, Board of War,Thomas Sim Lee,1780-03-07
3079, Maryland Delegates,Thomas Sim Lee,1780-03-07
3080,Samuel Holten,Diary,1780-03-09 
3081,James Lovell,Samuel Adams,1780-03-09
3082,Samuel Huntington, Chevalier de la Luzerne,1780-03-10
3083,John Collins,Nathanael Greene,1780-03-10
3084,Samuel Holten,Diary,1780-03-11
3085,Samuel Huntington,Joseph Reed,1780-03-11
3086,Philip Schuyler,unknown,1780-03-11
3087,Nathaniel Peabody,Meshech Weare,1780-03-13
3088,Philip Schuyler,George Washington,1780-03-13
3089,John Maws,Horatio Gates,1780-03-14
3090,Samuel Livermore,Meshech Weare,1780-03-14
3091, Massachusetts Delegates,Jeremiah Powell,1780-03-15
3092, Massachusetts Delegates, Chevalier de la Luzerne,1780-03-15
3093,Ezra L'Hommedieu,George Clinton,1780-03-15
3094,Roger Sherman,Jonathan Trumbull,1780-03-15
3095,John Armstrong,Joseph Reed,1780-03-15
3096,Nathaniel Peabody,Meshech Weare,1780-03-17
3097,James Lovell,Samuel Adams,1780-03-17
3098,Philip Schuyler,George Washington,1780-03-19
3099,John Maws,Benjamin Lincoln,1780-03-19
3100,Samuel Huntington, Several States,1780-03-20
3101,James Madison jr.,James Madison sr.,1780-03-20
3102, Connecticut Delegates,Jonathan Trumbull,1780-03-20
3103, Massachusetts Delegates,Jeremiah Powell,1780-03-20
3104,James Lovell,John Adams,1780-03-21
3105,James Lovell,Samuel Adams,1780-03-21
3106,Samuel Livermore,Meshech Weare,1780-03-21
3107, Rhode Island Delegates,William Greene,1780-03-21
3108, New York Delegates,George Clinton,1780-03-21
3109,John Collins,Nathanael Greene,1780-03-21
3110,Philip Schuyler,Nathanael Greene,1780-03-22
3111,Philip Schuyler,George Washington,1780-03-22
3112,Samuel Huntington,Jonathan Trumbull,1780-03-22
3113, Connecticut Delegates,Jonathan Trumbull,1780-03-23
3114,Oliver Ellsworth,Jonathan Trumbull,1780-03-23
3115,Charles Thomson,Jonathan Trumbull,1780-03-23
3116,Thomas McKean,Richard Henry Lee,1780-03-25
3117,Samuel Holten,Diary,1780-03-27 
3118,James Madison,Thomas Jefferson,1780-03-27
3119,James Lovell,Samuel Adams,1780-03-28
3120,Roger Sherman,Jonathan Trumbull,1780-03-28
3121,Abraham Qark,William Livingston,1780-03-30
3122,John Dickinson,Arthur Lee,1780-03-30
3123, Board of Admiralty, Commissioners of Navy Board of Eastern Department,1780-03-31
3124,Elbridge Gerry,Samuel Huntington,1780-04-03
3125,William Ellery,William Greene,1780-04-04
3126, New York Delegates,George Clinton,1780-04-04
3127,Samuel Holten,Jeremiah Powell,1780-04-04
3128,Philip Schuyler,George Washington,1780-04-05
3129,Philip Schuyler,Samuel Huntington,1780-04-07
3130,Philip Schuyler,Alexander Hamilton,1780-04-08
3131,James Lovell,Samuel Adams,1780-04-09
3132,James Lovell,Samuel Adams,1780-04-11
3133,Samuel Huntington,Jonathan Trumbull,1780-04-15
3134,Oliver Ellsworth,Jeremiah Wadsworth,1780-04-15
3135,Thomas Burke,Cornelius Harnett,1780-04-14 
3136,James Lovell,Horatio Gates,1780-04-16
3137,Elbridge Gerry,Samuel Huntington,1780-04-17
3138,Nathaniel Folsom,Josiah Bartlett,1780-04-17
3139, Alassachusetts Delegates,Jeremiah Powell,1780-04-17
3140,James Lovell,08ustin Alottin de La Balme,1780-04-17
3141,Philip Schuyler,George Clinton,1780-04-18
3142,William Ellery,William Greene,1780-04-18
3143, Massachusetts Delegates,Jeremiah Powell,1780-04-18
3144,John Alaws,Horatio Gates,1780-04-18
3145, Committee at Headquarters, Commissary-General of Issues,1780-04-19
3146, Committee at Headquarters, Quartermaster-General,1780-04-19
3147,Nathaniel Peabody,Meshech Weare,1780-04-20
3148,Samuel Huntington,Thomas Jefferson,1780-04-23
3149,John Alaws,Robert R. Livingston,1780-04-24
3150, Rhode Island Delegates,William Greene,1780-05-02
3151,John Collins,Nathanael Greene,1780-05-02
3152,Samuel Holten,Diary,1780-05-03
3153,James Lovell,Benjamin Franklin,1780-05-04
3154,James Duane,George Washington,1780-05-04
3155,Elbridge Gerry,John Adams,1780-05-05
3156, Comm.ittee at Headquarters,Nathanael Greene,1780-05-05
3157,Samuel Huntington, Committee at Headquarters,1780-05-06
3158,James Aladison,Thomas Jefferson,1780-05-06
3159,Richard Henry Lee,William Shippen jr.,1780-05-07
3160,James Duane,George Washington,1780-05-09
3161,Oliver Ellsworth,Jonathan Trumbull,1780-05-09
3162, Committee at Headquarters,Samuel Huntington,1780-05-10
3163,James Duane,Philip Schuyler,1780-05-12
3164,Elbridge Gerry,Nathaniel Peabody,1780-05-12
3165,William Churchill Houston,Philip Schuyler,1780-05-13
3166, Committee at Headquarters,Minute,1780-05-14
3167, Committee at Headquarters,Minute,1780-05-15
3168,Philip Schuyler,George Clinton,1780-05-15
3169,Samuel Huntington, Committee at Headquarters,1780-05-16
3170,Samuel Holten,Jeremiah Powell,1780-05-16
3171,William Ellery,William Greene,1780-05-16
3172, Committee at Headquarters,Samuel Huntington,1780-05-16
3173, Committee at Headquarters,Report,1780-05-16
3174, Committee at Headquarters,Report,1780-05-16
3175,Samuel Huntington,Benjamin Lincoln,1780-05-17
3176,Samuel Holten,Diary,1780-05-18
3177,Robert R. Livingston,George Qinton,1780-05-18
3178,Samuel Holten,Richard Bache,1780-05-18
3179,Nathaniel Folsom,Meshech Weare,1780-05-18
3180,Elbridge Gerry,Samuel Huntington,1780-05-18
3181,Samuel Huntington,Thomas Sim Lee,1780-05-19
3182,Samuel Huntington, Several States,1780-05-19
3183,Samuel Huntington,George Washington,1780-05-20
3184,Samuel Huntington,Jonathan Trumbull,1780-05-20
3185,Philip Schuyler,George Ginton,1780-05-20
3186,Philip Schuyler,Samuel Huntington,1780-05-21
3187,Robert R. Livingston,Philip Schuyler,1780-05-21
3188, New York Delegates,George Qinton,1780-05-21
3189,Oliver Ellsworth,Joseph Reed,1780-05-22
3190,William Churchill Houston,William Livingston,1780-05-22
3191,Samuel Holten,Jeremiah Powell,1780-05-23
3192,Joseph Jones,George Washington,1780-05-23
3193,Samuel Huntington, Chevalier de la Luzerne,1780-05-24
3194, Committee at Headquarters, Several States,1780-05-25
3195, Committee at Headquarters, Several States,1780-05-25
3196,Robert R. Livingston,Philip Schuyler,1780-05-26
3197,James Duane,Philip Schuyler,1780-05-26
3198,William Churchill Houston,William Livingston,1780-05-26
3199,Samuel Huntington, Marquis de Bouille,1780-05-27
3200, Committee at Headquarters,Samuel Huntington,1780-05-28
3201,Samuel Huntington,George Washington,1780-05-29
3202,Samuel Huntington, Several States,1780-05-29
3203,Samuel Huntington, Committee at Headquarters,1780-05-29
3204,Samuel Holten,Jeremiah Powell,1780-05-30
3205,James Duane,George Washington,1780-05-30
3206,Samuel Huntington, Committee at Headquarters,1780-05-31
3207,A Committee of Congress,Joseph Reed,1780-05-31
3208, Committee at Headquarters,Jonathan Trumbull,1780-06-01
3209,Nathaniel Folsom,Meshech Weare,1780-06-01
3210,James Lovell,Jeremiah Powell,1780-06-02
3211,James Madison,Thomas Jefferson,1780-06-02
3212, New York Delegates,George Clinton,1780-06-02
3213, Committee at Headquarters, Several States,1780-06-02
3214,Samuel Huntington,George Qinton,1780-06-03
3215,Samuel Huntington, Committee at Headquarters,1780-06-03
3216,Samuel Huntington,William Livingston,1780-06-05
3217,Samuel Huntington,George Clinton,1780-06-05
3218,Samuel Huntington,Jonathan Trumbull,1780-06-05
3219,Samuel Huntington,William Greene,1780-06-05
3220,Samuel Huntington,George Washington,1780-06-05
3221, New York Delegates,George Qinton,1780-06-05
3222,Daniel of St. Thomas Jenifer,Thomas Sim Lee,1780-06-05
3223,William Churchill Houston,William Livingston,1780-06-05
3224,Nathaniel Folsom,Nathaniel Peabody,1780-06-05
3225, Committee at Headquarters,Samuel Huntington,1780-06-05
3226, Committee at Headquarters,Ephraim Blaine,1780-06-05
3227,Samuel Huntington,George Washington,1780-06-06
3228,Nathaniel Folsom,Meshech Weare,1780-06-06
3229,James Madison,Thomas Jefferson,1780-06-06
3230,Oliver Ellsworth,Jonathan Trumbull,1780-06-06
3231,James Duane,Philip Schuyler,1780-06-06
3232,John Armstrong,Horatio Gates,1780-06-06
3233,Oliver Ellsworth,Jonathan Trumbull,1780-06-08
3234,Cyrus Griffin,Thomas Jefferson,1780-06-09
3235,Robert R. Livingston,Philip Schuyler,1780-06-09
3236,John Maws,Thomas Bee,1780-06-09
3237,Samuel Huntington,Jonathan Trumbull,1780-06-10
3238,Elbridge Gerry,Robert Morris,1780-06-11
3239, Committee at Headquarters,Elbridge Gerry,1780-06-11
